Feature Identification Number,Census Tract,Area in Square Miles,MENI Equity Need Tier,Percentile for MENI,EFC Designation,Total Households,Total Population,Total Low-Income Households,Percent Low-Income Households,Percentile for Low-Income Households,Total Zero-Vehicle Households,Percent Zero-Vehicle Households,Percentile for Zero-Vehicle Households,Total BIPOC Population,Percent BIPOC Population,Percentile for BIPOC Population,Percentile for Low-Income and Zero Vehicle Households,Percentile for Low-Income Households and BIPOC Population,LA County Subregional Boundaries,LA County Supervisorial Districts,City Name,Community Name,City/Community Name,Census Designated Place,Jurisdiction Type,Shape__Area,Shape__Length
1181,06037481403,0.315934,Moderate Need,50.1,Non-EFC,851,3172,454,53.35,68.6,0,0,0,2860,90.16,62.5,31.9,67.7,San Gabriel Valley,1,San Gabriel, ,San Gabriel,San Gabriel,Incorporated City,1195837.4375,6554.16411164243
1182,06037401706,0.478559,High Need,62.3,EFC,1554,4167,763,49.1,61.2,173,11.13,72.4,3169,76.05,42.7,70,51,San Gabriel Valley,1,Pomona, ,Pomona,Pomona,Incorporated City,1812251.7265625,6882.76841881682
1183,06037481203,0.602234,Moderate Need,44.2,Non-EFC,1920,6128,802,41.77,47.1,63,3.28,28.1,5454,89,60.2,36.1,53.9,San Gabriel Valley,1,San Gabriel, ,San Gabriel,San Gabriel,Incorporated City,2280380.62890625,6331.75555976693
1184,06037190302,0.100128,Moderate Need,59.8,Non-EFC,1256,2985,612,48.73,60.6,192,15.29,83.3,1594,53.4,24.9,75.7,40.6,Central Los Angeles,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,379189.3359375,3486.05720709973
1185,06037464102,1.19496,Very Low Need,7.3,Non-EFC,1269,4742,127,10.01,0.5,9,0.71,5.5,3584,75.58,42.3,0.9,17.8,San Gabriel Valley,5,San Marino, ,San Marino,San Marino,Incorporated City,4526771.51953125,14709.2089714646
1186,06037185102,0.576723,Very Low Need,8.6,Non-EFC,1436,3459,379,26.39,17,10,0.7,5.3,1433,41.43,16.4,7.6,13.2,Central Los Angeles,1,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,2184195.9765625,9419.66498956691
1187,06037603901,0.279591,Moderate Need,57.6,Non-EFC,1264,3551,566,44.78,53.6,110,8.7,62.9,2961,83.38,51.1,61.4,51.7,South Bay,2,Lawndale, ,Lawndale,Lawndale,Incorporated City,1053753.296875,5508.78671359347
1188,06037553202,0.337627,Low Need,24.8,Non-EFC,927,3526,237,25.57,15.5,37,3.99,33.9,3024,85.76,54.7,20.8,32.4,Gateway Cities,4,Bellflower, ,Bellflower,Bellflower,Incorporated City,1272719.85546875,4636.25603776442
1189,06037603706,0.147372,Very High Need,93.5,EFC,1074,3227,796,74.12,96.2,155,14.43,81.5,3069,95.1,75.1,91,90.5,South Bay,2, ,Alondra Park,Alondra Park,Alondra Park,Unincorporated Area,555418.06640625,3676.83019921772
1190,06037240902,0.274994,Very High Need,93.3,EFC,814,3774,559,68.67,91.1,83,10.2,68.9,3774,100,98.8,82.5,98.4,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1037327.77734375,4673.91812162927
1191,06037920343,0.38462,Moderate Need,47.8,Non-EFC,1180,3972,657,55.68,72.2,0,0,0,3250,81.82,48.6,34.3,61.4,North Los Angeles County,5,Santa Clarita, ,Santa Clarita,Santa Clarita,Incorporated City,1465758.5078125,5258.12568897335
1192,06037103202,1.83801,Very Low Need,11.9,Non-EFC,697,2569,140,20.09,7.9,20,2.87,24.8,1582,61.58,31.3,12.3,16.2,San Fernando Valley,5,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,6988647.2578125,16413.1877251985
1193,06037911100,62.6878,High Need,60.9,EFC,2064,8380,1227,59.45,78.4,47,2.28,19.3,7251,86.53,55.9,49.5,69.3,North Los Angeles County,5, ,Antelope Valley,Antelope Valley,,Unincorporated Area,240259686.023438,83383.5795655262
1194,06037901012,1.49813,Very Low Need,7.9,Non-EFC,1496,5506,151,10.09,0.5,21,1.4,11.6,3933,71.43,39.4,3,16.5,North Los Angeles County,5,Lancaster, ,Lancaster,Lancaster,Incorporated City,5751690.72265625,9789.78611954765
1195,06037404402,1.29861,Moderate Need,53.8,Non-EFC,1144,5115,506,44.23,52.1,41,3.58,30.6,4871,95.23,75.8,40.6,66,San Gabriel Valley,1,Azusa, ,Azusa,Azusa,Incorporated City,4919775.40625,10296.6158916675
1196,06037602301,0.688977,Low Need,30.8,Non-EFC,1927,6694,638,33.11,29.9,97,5.03,41.9,4632,69.2,37.7,33.9,31.1,South Bay,2, ,Del Aire,Del Aire,Del Aire,Unincorporated Area,2597214.23828125,7090.79607521082
1197,06037602700,0.960627,Low Need,33.7,Non-EFC,1222,3532,373,30.52,24.6,35,2.86,24.7,3385,95.84,77.7,20.6,50.1,South Bay,2,Hawthorne, ,Hawthorne,Hawthorne,Incorporated City,3622651.36328125,7838.56910173754
1198,06037503402,0.624375,Low Need,20.8,Non-EFC,1271,3834,382,30.06,23.8,31,2.44,20.6,2635,68.73,37.1,18.2,27.7,Gateway Cities,4,Whittier, ,Whittier,Whittier,Incorporated City,2355604.58984375,6545.57369979981
1199,06037501002,0.567519,Low Need,26.3,Non-EFC,1374,4759,428,31.15,25.5,29,2.11,17.5,4132,86.82,56.5,17.6,38.9,Gateway Cities,4, ,West Whittier - Los Nietos,West Whittier - Los Nietos,West Whittier-Los Nietos,Unincorporated Area,2143125.23828125,6109.33716174156
1200,06037601202,0.25341,Moderate Need,42.9,Non-EFC,1059,4191,407,38.43,39.9,29,2.74,23.3,3984,95.06,74.8,28.8,58,South Bay,2,Inglewood, ,Inglewood,Inglewood,Incorporated City,956214.5703125,3926.31404153271
1201,06037261103,0.812292,Very Low Need,0,Non-EFC,709,1815,39,5.5,0.1,0,0,0,312,17.19,1.1,0,0.1,Westside Cities,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,3077182.4921875,9308.7028455463
1202,06037901013,1.14013,Very Low Need,8.8,Non-EFC,1051,3032,230,21.88,9.9,22,2.09,17.4,1416,46.7,20.1,9.9,11.2,North Los Angeles County,5,Lancaster, ,Lancaster,Lancaster,Incorporated City,4377102.03515625,9855.82272030813
1203,06037143606,0.0971691,Low Need,24.9,Non-EFC,973,1701,377,38.75,40.8,30,3.08,26.5,595,34.98,10.6,31.2,22.3,San Fernando Valley,5,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,368304.06640625,4505.68239011288
1204,06037400605,1.92838,Very Low Need,12.9,Non-EFC,2308,7571,525,22.75,11.1,48,2.08,17.3,5056,66.78,35.4,10.7,19.8,San Gabriel Valley,1,Azusa, ,Azusa,Azusa,Incorporated City,7310491.41796875,13443.5767497399
1205,06037800337,1.07689,Very Low Need,18.7,Non-EFC,1730,3950,698,40.35,44,0,0,0,1350,34.18,10.2,18.1,23.5,Las Virgenes/Malibu,3,Calabasas, ,Calabasas,Calabasas,Incorporated City,4081181.90625,11350.2684742068
1206,06037430005,0.400485,Low Need,28.7,Non-EFC,1280,3683,396,30.94,25.1,52,4.06,34.4,3020,82,48.9,26.6,34.9,San Gabriel Valley,5,Duarte, ,Duarte,Duarte,Incorporated City,1517948.62109375,5700.71718580431
1207,06037800336,7.6442,Very Low Need,10.3,Non-EFC,1199,3893,174,14.51,2.9,75,6.26,49.7,1104,28.36,6.6,22.7,2.1,Las Virgenes/Malibu,3, ,Santa Monica Mountains North Area,Santa Monica Mountains North Area,,Unincorporated Area,28962081.5351563,28939.9721217669
1208,06037139705,1.16572,Very Low Need,7.6,Non-EFC,1291,3820,144,11.15,0.8,73,5.65,46.1,386,10.1,0.2,19.2,0,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,4418388.25,13568.5280409436
1209,06037143302,0.398463,Very Low Need,3.9,Non-EFC,1686,3104,401,23.78,13,12,0.71,5.5,915,29.48,7.2,5.6,5.9,San Fernando Valley,5,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1510671.19921875,6004.49766072097
1210,06037800334,1.82894,Very Low Need,3.1,Non-EFC,1346,4490,302,22.44,10.6,16,1.19,10.1,874,19.47,1.9,6.6,2.9,Las Virgenes/Malibu,3,Agoura Hills, ,Agoura Hills,Agoura Hills,Incorporated City,6935252.578125,12249.7730733378
1211,06037409000,3.03667,Moderate Need,46.8,Non-EFC,2091,7550,956,45.72,55.3,61,2.92,25.2,6390,84.64,52.9,39.2,54.7,San Gabriel Valley,1,Pomona, ,Pomona,Pomona,Incorporated City,11485262.6328125,21545.5437437466
1212,06037530500,0.344903,High Need,76,EFC,1075,4099,571,53.12,68.3,152,14.14,80.9,3840,93.68,71.5,77.5,72.6,Central Los Angeles,1, ,East Los Angeles,East Los Angeles,East Los Angeles,Unincorporated Area,1304176.12109375,4663.40263366031
1213,06037530400,0.593842,Very High Need,91.6,EFC,1149,3835,731,63.62,85,139,12.1,75.4,3812,99.4,94.7,82.8,95,San Gabriel Valley,1,Monterey Park, ,Monterey Park,Monterey Park,Incorporated City,2245489.63671875,6848.97704668644
1214,06037482002,0.960732,Moderate Need,52.6,Non-EFC,2595,6947,1069,41.19,45.9,154,5.93,47.4,6412,92.3,67.9,47,57.5,San Gabriel Valley,1,Monterey Park, ,Monterey Park,Monterey Park,Incorporated City,3633655.95703125,8314.37192494646
1215,06037407902,0.184468,Moderate Need,48.4,Non-EFC,499,1588,152,30.46,24.4,34,6.81,52.4,1575,99.18,93.5,36.9,60,San Gabriel Valley,1,West Covina, ,West Covina,West Covina,Incorporated City,697530.93359375,3550.00269723393
1216,06037482522,0.635785,Moderate Need,43.6,Non-EFC,1491,4403,644,43.19,49.8,17,1.14,9.8,4132,93.85,71.8,26.7,61.8,Gateway Cities,1,Montebello, ,Montebello,Montebello,Incorporated City,2404203.1328125,7016.44202319085
1217,06037434100,0.964325,High Need,69.2,EFC,1620,6804,815,50.31,63.1,113,6.98,53.7,6591,96.87,81.6,61.4,75.8,San Gabriel Valley,1,South El Monte, ,South El Monte,South El Monte,Incorporated City,3647388.75390625,8892.24920622291
1218,06037403500,1.89421,Moderate Need,46.2,Non-EFC,562,1550,178,31.67,26.9,102,18.15,88,1204,77.68,44.2,60.2,32.9,San Gabriel Valley,1, ,Walnut Islands,Walnut Islands,,Unincorporated Area,7166523.3671875,13544.0335936098
1219,06037406000,0.734361,Low Need,26.3,Non-EFC,1502,5565,475,31.62,26.7,47,3.13,26.8,4381,78.72,45.5,23.1,33.5,San Gabriel Valley,1, ,Covina Islands,Covina Islands,,Unincorporated Area,2780304.79296875,9621.43113925221
1220,06037404501,0.307212,Moderate Need,59.5,Non-EFC,699,2791,370,52.93,67.8,10,1.43,11.9,2678,95.95,78.2,39,76.7,San Gabriel Valley,1,Azusa, ,Azusa,Azusa,Incorporated City,1163619.65234375,5063.97641547841
1221,06037670604,3.95312,Very Low Need,5.7,Non-EFC,1968,4934,315,16.01,4,65,3.3,28.2,1572,31.86,8.8,12.2,3,South Bay,4,Rancho Palos Verdes, ,Rancho Palos Verdes,Rancho Palos Verdes,Incorporated City,14845069.28125,36410.3432861969
1222,06037670603,1.50501,Very Low Need,3.9,Non-EFC,594,1978,27,4.55,0,0,0,0,1200,60.67,30.5,0,11.5,South Bay,4,Rancho Palos Verdes, ,Rancho Palos Verdes,Rancho Palos Verdes,Incorporated City,5652994.82421875,13246.852708771
1223,06037276606,0.0846546,Low Need,21.9,Non-EFC,1782,3084,705,39.56,42.6,14,0.79,6.5,1269,41.15,16.2,20.4,26.6,Westside Cities,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,319479.546875,2667.03844009298
1224,06037670418,0.98701,Very Low Need,1.1,Non-EFC,1408,4130,160,11.36,0.9,7,0.5,3.8,1727,41.82,16.8,0.7,4.9,South Bay,4,Rancho Palos Verdes, ,Rancho Palos Verdes,Rancho Palos Verdes,Incorporated City,3710325.76953125,9103.5476272557
1225,06037800324,1.38588,Very Low Need,1,Non-EFC,2496,6772,440,17.63,5.3,25,1,8.5,1537,22.7,3.1,3.5,1.7,Las Virgenes/Malibu,3,Agoura Hills, ,Agoura Hills,Agoura Hills,Incorporated City,5254178.05078125,11789.7331325167
1226,06037128704,0.321855,Very Low Need,8,Non-EFC,979,2242,184,18.79,6.5,41,4.19,35.1,572,25.51,4.8,16.9,2.7,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1220490.78515625,4465.22201799435
1227,06037602202,0.187976,Moderate Need,45.5,Non-EFC,917,2603,353,38.5,40,61,6.65,51.3,2245,86.25,55.6,45.8,46.3,South Bay,2,Hawthorne, ,Hawthorne,Hawthorne,Incorporated City,708948.22265625,3553.77365511996
1228,06037543606,0.2587,Low Need,35.7,Non-EFC,1273,3806,516,40.53,44.5,30,2.36,20,3089,81.16,47.9,29.6,44.5,South Bay,2, ,West Carson,West Carson,West Carson,Unincorporated Area,973292.12109375,4120.98918135657
1229,06037650801,0.287875,Low Need,29.9,Non-EFC,1603,3879,463,28.88,21.1,81,5.05,42,3259,84.02,52.1,28.7,34.4,South Bay,4,Torrance, ,Torrance,Torrance,Incorporated City,1083197.1328125,4860.09310446206
1230,06037901300,104.242,Moderate Need,47.4,Non-EFC,625,2475,350,56,72.9,10,1.6,13.4,1560,63.03,32.2,42.5,52.2,North Los Angeles County,5, ,Antelope Valley,Antelope Valley,,Unincorporated Area,400540019.011719,109660.971156838
1231,06037431100,1.16073,Moderate Need,43.1,Non-EFC,2236,6992,939,41.99,47.6,74,3.31,28.4,6024,86.16,55.5,36.7,50.5,San Gabriel Valley,5,Monrovia, ,Monrovia,Monrovia,Incorporated City,4399052.21484375,9688.52219327528
1232,06037430902,0.453046,Low Need,20.8,Non-EFC,1708,4725,492,28.81,20.9,42,2.46,20.8,3564,75.43,42.2,17,28.7,San Gabriel Valley,5,Monrovia, ,Monrovia,Monrovia,Incorporated City,1716953.8125,6136.26137546986
1233,06037500204,2.05429,Very Low Need,9.5,Non-EFC,859,2134,55,6.4,0.2,55,6.4,50.4,639,29.94,7.4,21.4,1.4,Gateway Cities,4,La Habra Heights, ,La Habra Heights,La Habra Heights,Incorporated City,7753556.86328125,14529.3983379077
1234,06037621005,0.434256,Very Low Need,12.5,Non-EFC,2406,4674,460,19.12,6.9,173,7.19,55.2,846,18.1,1.5,28.2,1.7,South Bay,2,Hermosa Beach, ,Hermosa Beach,Hermosa Beach,Incorporated City,1635583.1484375,5718.00834427045
1235,06037125101,0.250896,Low Need,23.6,Non-EFC,2047,3567,825,40.3,43.8,26,1.27,10.8,1474,41.32,16.3,23.6,27.2,San Fernando Valley,5,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,951595.24609375,3901.63170683134
1236,06037131802,0.254554,Very Low Need,10.2,Non-EFC,762,3039,159,20.87,8.8,0,0,0,2349,77.3,43.8,1.7,22.9,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,966292.5703125,3932.25202130111
1237,06037571505,0.253311,Very Low Need,18.1,Non-EFC,919,3034,257,27.97,19.4,0,0,0,2593,85.46,54.2,5.9,34.7,Gateway Cities,4,Long Beach, ,Long Beach,Long Beach,Incorporated City,953579.82421875,4058.94841574344
1238,06037603902,0.289845,High Need,75.1,EFC,1162,3757,663,57.06,74.5,107,9.21,65.7,3490,92.89,69.5,73.8,75.5,South Bay,2,Lawndale, ,Lawndale,Lawndale,Incorporated City,1092231.7578125,4426.55397172836
1239,06037503704,0.57676,High Need,62,EFC,1976,4587,924,46.76,56.7,254,12.85,77.5,3610,78.7,45.4,70.6,50,Gateway Cities,4,La Mirada, ,La Mirada,La Mirada,Incorporated City,2174202.29296875,6632.72332078153
1240,06037209202,0.0934426,Very High Need,94.8,EFC,568,1604,488,85.92,99.4,159,27.99,95.6,1453,90.59,63.7,98.6,86.1,Central Los Angeles,1,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,353470.91015625,2400.22666743606
1241,06037650607,0.191089,Low Need,24.3,Non-EFC,1059,2670,353,33.33,30.3,21,1.98,16.3,1995,74.72,41.3,19,33,South Bay,4,Torrance, ,Torrance,Torrance,Incorporated City,719319.7890625,4023.37236677849
1242,06037500100,3.89768,Very Low Need,11.8,Non-EFC,1065,3521,163,15.31,3.5,46,4.32,36.2,2073,58.88,29,15.8,12.5,Gateway Cities,4,La Habra Heights, ,La Habra Heights,La Habra Heights,Incorporated City,14711369.6796875,18542.7469881126
1243,06037460001,2.00038,Very Low Need,2.5,Non-EFC,571,1718,104,18.21,6,9,1.58,13.3,456,26.54,5.4,5.9,2.8,San Gabriel Valley,5, ,Kinneloa Mesa,Kinneloa Mesa,,Unincorporated Area,7588792.29296875,17745.6984283718
1244,06037119801,0.236495,Very Low Need,12.6,Non-EFC,634,2648,115,18.14,5.9,8,1.26,10.7,2212,83.53,51.3,4.5,25.6,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,898387.0390625,4425.11099370027
1245,06037980035,6.15804,Excluded,,Excluded,149,584,0,0,,0,0,,0,0,,,,San Gabriel Valley,1,Industry, ,Industry,Industry,Incorporated City,23270969.1484375,38809.345802045
1246,06037501301,0.336247,Low Need,39.6,Non-EFC,1102,3098,469,42.56,48.6,40,3.63,30.9,2173,70.14,38.4,38.8,41.6,Gateway Cities,4,Whittier, ,Whittier,Whittier,Incorporated City,1270035.32421875,5771.67206415926
1247,06037408213,0.592912,Moderate Need,52.4,Non-EFC,1764,6154,720,40.82,45,78,4.42,37.4,5918,96.17,79,40.5,63.5,San Gabriel Valley,1, ,Rowland Heights,Rowland Heights,Rowland Heights,Unincorporated Area,2239501.671875,7603.57900855462
1248,06037232601,0.101471,Very High Need,87.2,EFC,551,1905,325,58.98,77.5,62,11.25,72.9,1899,99.69,97.3,78,92.5,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,383271.58203125,2576.31417171551
1249,06037501302,0.442326,High Need,62.9,EFC,1469,3766,770,52.42,66.8,117,7.96,59.5,2895,76.87,43.2,66.4,55.3,Gateway Cities,4,Whittier, ,Whittier,Whittier,Incorporated City,1670706.8828125,5584.43484192225
1250,06037403326,0.749708,Moderate Need,43.2,Non-EFC,670,2426,264,39.4,42.3,25,3.73,32,2187,90.15,62.5,35.6,51.9,San Gabriel Valley,1,Diamond Bar, ,Diamond Bar,Diamond Bar,Incorporated City,2832118.44140625,10195.4922126299
1251,06037980022,2.49048,Excluded,,Excluded,0,0,0,0,,0,0,,0,0,,,,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,9474891.64453125,15340.9846773055
1252,06037408703,6.5825,Very Low Need,18,Non-EFC,1860,6125,412,22.15,10.2,0,0,0,5723,93.44,70.8,2,38.5,San Gabriel Valley,1, ,Rowland Heights,Rowland Heights,Rowland Heights,Unincorporated Area,24844165.828125,25559.9879281886
1253,06037203900,0.172363,High Need,76.3,EFC,705,3206,355,50.35,63.1,85,12.06,75.2,3130,97.63,85.3,72.7,77.9,Central Los Angeles,1,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,651674.84765625,4458.97982649016
1254,06037265304,0.0500327,Very High Need,83.5,EFC,857,2625,642,74.91,96.6,254,29.64,96.6,1556,59.28,29.3,97.8,64.8,Westside Cities,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,189316.08203125,2135.4284935294
1255,06037265100,0.910872,Low Need,32.5,Non-EFC,1303,2531,381,29.24,22,323,24.79,94.2,449,17.74,1.4,61.2,7.4,Westside Cities,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,3447077.25,8697.67812933752
1256,06037212203,0.0409279,Very High Need,94.9,EFC,1626,2889,1194,73.43,95.9,616,37.88,98.3,2671,92.45,68.2,98.2,86.6,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,154836.08984375,1659.1407894295
1257,06037212304,0.0795798,Very High Need,93,EFC,737,1689,633,85.89,99.4,390,52.92,99.5,1440,85.26,53.8,99.7,80.8,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,301062.43359375,2322.27646797457
1258,06037211420,0.147125,Very High Need,85.8,EFC,1264,3255,814,64.4,86,316,25,94.4,2848,87.5,57.5,92.3,74.9,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,556761.8671875,3094.36775587231
1259,06037211000,1.02639,Very Low Need,7.1,Non-EFC,1950,5073,413,21.18,9.3,26,1.33,11.4,2461,48.51,21.5,6.6,11.7,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,3883719.578125,9246.22567121338
1260,06037210010,0.159572,Very High Need,99.5,EFC,1224,3345,1029,84.07,99.2,513,41.91,98.8,3281,98.09,87.2,99.4,97.4,Central Los Angeles,1,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,603501.0234375,3276.35286781342
1261,06037209403,0.0533571,Very High Need,98.4,EFC,1507,4678,1295,85.93,99.5,825,54.74,99.5,4453,95.19,75.5,99.8,92.7,Central Los Angeles,1,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,201826.19921875,1798.54015980254
1262,06037403703,0.836686,Low Need,34,Non-EFC,1460,4485,454,31.1,25.5,156,10.68,70.8,2508,55.92,26.9,48.6,22.8,San Gabriel Valley,1, ,Charter Oak,Charter Oak,Covina,Unincorporated Area,3167756.78125,8195.0322592349
1263,06037403320,1.51431,Very Low Need,14.3,Non-EFC,1561,5040,277,17.75,5.4,16,1.02,8.9,4485,88.99,60.1,3.7,30.1,San Gabriel Valley,1,Diamond Bar, ,Diamond Bar,Diamond Bar,Incorporated City,5721563.046875,10511.1815081919
1264,06037403318,1.30178,Very Low Need,14.6,Non-EFC,2042,5938,531,26,16.2,3,0.15,3,4741,79.84,46.5,5.8,28.6,San Gabriel Valley,1,Pomona, ,Pomona,Pomona,Incorporated City,4921489.0546875,11077.3375952561
1265,06037480901,0.367872,High Need,65.5,EFC,1680,5020,796,47.38,58.1,126,7.5,57.3,4718,93.98,72.2,60.7,67.1,San Gabriel Valley,1,Alhambra, ,Alhambra,Alhambra,Incorporated City,1392595.6640625,4789.44277627544
1266,06037234200,0.34154,Moderate Need,56.4,Non-EFC,1162,2520,480,41.31,46.1,108,9.29,66,2228,88.41,59.5,58.4,52.6,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1290784.7265625,4763.8410746713
1267,06037231720,0.182298,Very High Need,98.7,EFC,1454,5016,1040,71.53,94.5,387,26.62,95.2,4939,98.46,89,96.6,96.6,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,688815.09375,3358.7927080148
1268,06037460301,1.90271,Very Low Need,12.4,Non-EFC,1415,4239,337,23.82,13.1,37,2.61,22.1,2310,54.49,25.9,13.6,16,San Gabriel Valley,5, ,Altadena,Altadena,Altadena,Unincorporated Area,7223390.0234375,14552.4861023433
1269,06037460302,0.506558,Moderate Need,47.9,Non-EFC,1623,4529,727,44.79,53.7,73,4.5,38.1,3669,81.01,47.8,46.1,49.7,San Gabriel Valley,5, ,Altadena,Altadena,Altadena,Unincorporated Area,1922435.1328125,6470.22360882896
1270,06037137402,1.18341,Very Low Need,12.9,Non-EFC,2013,5626,452,22.45,10.7,109,5.41,44.5,1980,35.19,10.9,24.1,6.6,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,4487051.44140625,10917.5529053639
1271,06037269000,0.882739,Very Low Need,16.7,Non-EFC,2145,4744,563,26.25,16.7,99,4.62,38.7,2002,42.2,17.1,24.2,13.4,Westside Cities,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,3338142.5859375,10561.0638235739
1272,06037134901,0.408468,Low Need,22.3,Non-EFC,997,2691,386,38.72,40.7,18,1.81,15,1033,38.39,13.4,24.3,23.5,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1549898.84375,5590.43075577071
1273,06037310300,0.407975,Very Low Need,1.6,Non-EFC,1041,2947,185,17.77,5.5,11,1.06,9.1,915,31.05,8.1,3.9,3.3,Arroyo Verdugo,5,Burbank, ,Burbank,Burbank,Incorporated City,1548476.96484375,6861.32539832353
1274,06037920314,4.36951,Very Low Need,3.5,Non-EFC,945,3200,168,17.78,5.5,7,0.74,5.9,1424,44.5,18.8,2.7,8,North Los Angeles County,5,Santa Clarita, ,Santa Clarita,Santa Clarita,Incorporated City,16664879.8828125,19072.3072577445
1275,06037531901,0.299233,Very High Need,82.5,EFC,1738,6239,960,55.24,71.5,186,10.7,70.9,6156,98.67,90.1,74.8,85.5,Central Los Angeles,1, ,East Los Angeles,East Los Angeles,East Los Angeles,Unincorporated Area,1130810.734375,4222.61288278213
1276,06037134720,0.382086,Low Need,35.3,Non-EFC,1798,5421,694,38.6,40.3,51,2.84,24.5,4515,83.29,50.8,29.9,43.6,San Fernando Valley,3,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,1450402.51171875,4906.23405674143
1277,06037209300,0.118269,Very High Need,96.2,EFC,2166,5090,1707,78.81,98.5,934,43.12,98.9,4720,92.73,69.1,99.3,88.4,Central Los Angeles,1,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,447333.24609375,2919.08570246456
1278,06037208610,0.136243,High Need,70.5,EFC,1542,4388,777,50.39,63.2,173,11.22,72.7,4062,92.57,68.6,71.3,68.1,Central Los Angeles,1,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,515576.421875,3044.18815911537
1279,06037206010,0.563684,Very High Need,85.1,EFC,1418,3966,883,62.27,82.5,408,28.77,95.9,3531,89.03,60.3,91.4,74.5,Central Los Angeles,1,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,2132945.796875,7590.65878397693
1280,06037402301,0.519049,Moderate Need,59.6,Non-EFC,1372,5270,595,43.37,50.1,124,9.04,64.8,4690,88.99,60.1,60.2,55.6,San Gabriel Valley,1,Pomona, ,Pomona,Pomona,Incorporated City,1964014.41796875,6140.56334587232
1281,06037531604,0.141769,Very High Need,93.8,EFC,835,3343,531,63.59,84.9,137,16.41,85,3316,99.19,93.5,87.5,94.6,Central Los Angeles,1, ,East Los Angeles,East Los Angeles,East Los Angeles,Unincorporated Area,535883.31640625,2978.62295895664
1282,06037531603,0.168701,Very High Need,82.9,EFC,951,3703,550,57.83,75.4,80,8.41,61.6,3673,99.19,93.5,72,89.1,Central Los Angeles,1, ,East Los Angeles,East Los Angeles,East Los Angeles,Unincorporated Area,637772.6640625,3206.43216277154
1283,06037530901,0.172196,High Need,72.5,EFC,923,3827,486,52.65,67.2,53,5.74,46.5,3789,99.01,92.3,59.6,84.1,Central Los Angeles,1, ,East Los Angeles,East Los Angeles,East Los Angeles,Unincorporated Area,651189.11328125,3214.07723853809
1284,06037231400,0.239735,Very High Need,80.1,EFC,1552,4869,818,52.71,67.3,263,16.95,86.1,4700,96.53,80.2,79.4,77.3,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,905992.109375,3811.2949434666
1285,06037228500,0.175205,Very High Need,93.2,EFC,1166,5196,788,67.58,89.9,125,10.72,71.1,5196,100,98.8,83,97.9,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,661953.22265625,3340.24894858466
1286,06037228310,0.213899,Very High Need,95.1,EFC,1034,4562,680,65.76,88,185,17.89,87.6,4521,99.1,93,90.1,95.3,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,808293.9375,4036.51165915254
1287,06037226420,0.164835,Very High Need,98.8,EFC,1330,5382,954,71.73,94.7,278,20.9,91.3,5358,99.55,96.2,94.8,98.8,Central Los Angeles,2,Los Angeles, ,Los Angeles,Los Angeles,Incorporated City,623042.31640625,3232.35021501041
